"id","date","focal.depth","magnitude","intensity","country","location.name","latitude","longitude","casualties","property.damage","factor"
5480,1997-12-05,33,7.8,7,"RUSSIA","RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK",54.841,162.035,NA,NA,"[7,8)"
5481,1998-01-10,30,5.7,8,"CHINA","CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",41.083,114.5,11570,NA,"[5,6)"
5483,1998-01-10,33,6.6,NA,"GUATEMALA","GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,NA,NA,"[6,7)"
5484,1998-02-03,33,6.3,NA,"MEXICO","MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",15.883,-96.298,NA,NA,"[6,7)"
5485,1998-02-04,33,5.9,NA,"AFGHANISTAN","AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE",37.075,70.089,3141,NA,"[5,6)"
5486,1998-02-20,236,6.4,NA,"AFGHANISTAN","AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR",36.479,71.086,12,NA,"[6,7)"
5487,1998-03-14,9,6.6,NA,"IRAN","IRAN:  GOLBAF, BAFT, KERMAN",30.154,57.605,55,NA,"[6,7)"
5488,1998-03-19,33,5.6,NA,"CHINA","CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR",39.977,76.731,NA,NA,"[5,6)"
5489,1998-03-25,10,8.1,NA,"ANTARCTICA","BALLENY ISLANDS",-62.877,149.527,NA,NA,"[8,9)"
5490,1998-04-03,10,5.2,NA,"ITALY","ITALY:  CENTRAL:  GUALDO, TADINO-NOCERA UMBRA",43.164,12.701,NA,NA,"[5,6)"
5491,1998-04-10,33,5.8,NA,"IRAN","IRAN:  BIRJAND, GONABAD",32.457,59.976,22,NA,"[5,6)"
5492,1998-04-12,10,5.7,8,"AUSTRIA","AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID",46.245,13.652,NA,NA,"[5,6)"
6502,1998-05-03,33,7.5,NA,"TAIWAN","TAIWAN",22.306,125.308,NA,NA,"[7,8)"
5493,1998-05-22,24,6.6,NA,"BOLIVIA","BOLIVIA:  CENTRAL:  AIQUILE, TOTORA",-17.731,-65.431,255,NA,"[6,7)"
5494,1998-05-28,33,5.6,NA,"CHINA","CHINA:  SOUTHERN XINJIANG",37.388,78.843,NA,NA,"[5,6)"
5495,1998-05-30,33,6.6,NA,"AFGHANISTAN","AFGHANISTAN:  BADAKHSHAN, TAKHAR",37.106,70.11,NA,NA,"[6,7)"
5497,1998-06-27,33,6.3,8,"TURKEY","TURKEY:  ADANA, CEYHAN",36.878,35.307,1645,NA,"[6,7)"
5498,1998-07-09,10,6.2,NA,"AZORES (PORTUGAL)","AZORES:  FAIAL, PICO, TERCEIRA",38.65,-28.626,110,NA,"[6,7)"
5499,1998-07-09,26,6,NA,"ARMENIA","ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI",38.717,48.507,NA,NA,"[6,7)"
5500,1998-07-17,13,5.7,5,"TAIWAN","TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,32,NA,"[5,6)"
5501,1998-07-17,25,7,NA,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  SISSANO",-2.943,142.582,3205,NA,"[7,8)"
5502,1998-08-04,33,7.2,NA,"ECUADOR","ECUADOR:  BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,43,NA,"[7,8)"
5503,1998-08-27,33,6.4,NA,"CHINA","CHINA:  SOUTHERN XINJIANG:  JIASHI",39.66,77.343,10,22371,"[6,7)"
5504,1998-09-28,152,6.6,NA,"INDONESIA","INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,NA,100,"[6,7)"
5505,1998-09-29,10,5.5,8,"SERBIA AND MONTENEGRO","BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",44.209,20.08,18,NA,"[5,6)"
5506,1998-09-30,10,5.3,NA,"ALBANIA","ALBANIA:  KUKES, PESHKOPI",41.925,20.39,NA,NA,"[5,6)"
5507,1998-10-05,39,5.4,NA,"IRAN","IRAN:  WESTERN:  DARREH SHAHR, POL-E-DOKHTAR",33.199,47.225,NA,NA,"[5,6)"
5508,1998-11-13,33,5.4,NA,"IRAN","IRAN:  SOUTHERN:  BIGHERD-KHONJ",27.791,53.608,110,NA,"[5,6)"
5509,1998-11-19,33,5.6,NA,"CHINA","CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",27.308,101.029,1548,NA,"[5,6)"
5510,1998-11-29,33,7.7,7,"INDONESIA","INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,148,NA,"[7,8)"
5512,1999-01-25,17,6.2,NA,"COLOMBIA","COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",4.461,-75.724,5935,NA,"[6,7)"
5516,1999-02-11,33,6,NA,"AFGHANISTAN","AFGHANISTAN:  LOWGAR, VARDAK, KABUL",34.259,69.364,570,NA,"[6,7)"
5517,1999-03-04,33,6.6,NA,"IRAN","IRAN:  SOUTHERN:  KERMAN",28.343,57.193,NA,NA,"[6,7)"
5518,1999-03-11,33,5.1,NA,"CHINA","CHINA:  NE: ZHANGBEI COUNTY",41.131,114.658,NA,NA,"[5,6)"
5519,1999-03-28,15,6.6,8,"INDIA","INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,494,NA,"[6,7)"
5520,1999-04-03,87,6.8,6,"PERU","PERU:  CAMANA, AREQUIPA",-16.66,-72.662,51,NA,"[6,7)"
5521,1999-05-06,33,6.2,NA,"IRAN","IRAN:  SOUTHERN:  FARS PROVINCE",29.501,51.88,126,NA,"[6,7)"
5522,1999-06-04,33,5.4,5,"AZERBAIJAN","AZERBAIJAN:  AGDAS, UCAR, AGALI",40.802,47.448,19,NA,"[5,6)"
5523,1999-06-15,70,7,NA,"MEXICO","MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,220,NA,"[7,8)"
5524,1999-06-21,69,6.3,NA,"MEXICO","MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO",18.324,-101.539,NA,NA,"[6,7)"
5525,1999-07-11,10,6.7,NA,"GUATEMALA","GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W",15.782,-88.33,42,11,"[6,7)"
5527,1999-08-17,13,7.6,10,"TURKEY","TURKEY:  ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,67118,NA,"[7,8)"
5530,1999-08-31,10,5.2,NA,"TURKEY","TURKEY:  IZMIT",40.711,29.949,167,NA,"[5,6)"
5531,1999-09-07,10,6,9,"GREECE","GREECE:  ATHENS",38.119,23.605,1743,NA,"[6,7)"
5533,1999-09-13,13,5.8,NA,"TURKEY","TURKEY:  ADAPAZARI-GOLUCK-KOCAELI",40.709,30.045,429,NA,"[5,6)"
5535,1999-09-20,33,7.7,10,"TAIWAN","TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",23.772,120.982,10997,NA,"[7,8)"
5536,1999-09-25,17,6.5,NA,"TAIWAN","TAIWAN:  CENTRAL",23.738,121.158,NA,NA,"[6,7)"
5537,1999-09-30,61,7.5,8,"MEXICO","MEXICO:  OAXACA",16.059,-96.931,250,NA,"[7,8)"
5538,1999-10-16,NA,7.2,7,"USA","CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,NA,NA,"[7,8)"
5539,1999-10-22,33,5.9,6,"TAIWAN","TAIWAN:  CHIA-I",23.445,120.506,255,NA,"[5,6)"
5541,1999-11-01,10,5.3,NA,"CHINA","CHINA:  SHANXI:  NORTHEASTERN",39.899,113.983,NA,NA,"[5,6)"
5542,1999-11-11,22,5.7,NA,"TURKEY","TURKEY:  ADAPAZARI, KOCEALI, GOLCUK",40.744,30.266,173,NA,"[5,6)"
5543,1999-11-12,10,7.2,9,"TURKEY","TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,5842,NA,"[7,8)"
5739,1999-11-26,33,5.3,NA,"IRAN","IRAN:  GORGAN",36.92,54.9,NA,NA,"[5,6)"
5545,1999-11-26,33,7.5,NA,"VANUATU","VANUATU ISLANDS:  PENTECOST",-16.423,168.214,110,NA,"[7,8)"
5546,1999-11-29,10,5,NA,"CHINA","CHINA:  NORTHEASTERN:  SANJIANFANG",40.459,122.889,NA,NA,"[5,6)"
5547,1999-12-03,19,5.7,NA,"TURKEY","TURKEY:  GORESKEN, ERZURUM PROVINCE",40.358,42.346,NA,NA,"[5,6)"
5548,1999-12-11,33,7.3,7,"PHILIPPINES","PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,45,NA,"[7,8)"
5549,1999-12-21,56,6.5,NA,"INDONESIA","INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,225,NA,"[6,7)"
5550,1999-12-22,10,5.6,7,"ALGERIA","ALGERIA:  NORTHERN:  AIN TEMOUCHENT",35.321,-1.281,199,NA,"[5,6)"
5552,2000-01-11,10,5.1,NA,"CHINA","CHINA:  LIAONING PROVINCE",40.498,122.994,NA,NA,"[5,6)"
5553,2000-01-14,33,5.9,NA,"CHINA","CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY",25.607,101.063,2535,NA,"[5,6)"
